id,dist_to_sagrada_familia_km,dist_to_casa_mila_km,dist_to_casa_batllo_km,dist_to_parc_guell_km,dist_to_la_rambla_km,dist_to_montjuic_km
11931355,5.25,3.88,3.75,5.42,3.64,1.69
11938945,2.82,1.44,1.54,2.88,2.28,2.86
11942471,1.13,0.89,0.65,2.85,1.31,3.73
11953606,3.04,4.22,4.52,2.94,5.47,7.82
12622252,0.95,0.66,0.61,2.52,1.57,3.87
12627328,1.48,0.61,1.08,1.7,2.35,4.03
12628165,0.98,1.3,1.12,2.99,1.53,4.09
12634537,3.12,2.45,1.98,4.71,0.73,2.32
12673013,2.9,4.01,4.33,2.61,5.33,7.62
12678418,2.65,1.59,1.18,3.83,0.72,2.18
12693694,3.4,2.35,1.95,4.57,1.14,1.5
12694295,2.28,2.0,1.56,4.13,0.67,3.22
12694296,2.33,1.97,1.52,4.13,0.55,3.1
12695277,0.22,1.2,1.39,2.05,2.36,4.68
11967470,3.43,2.06,1.92,3.85,2.07,1.87
11969751,1.21,0.29,0.74,2.0,2.0,3.9
11983461,5.8,4.49,4.25,6.29,3.8,1.25
11985129,2.58,1.44,1.07,3.65,0.89,2.24
11988592,4.62,3.23,3.21,4.52,3.43,2.26
11990775,2.46,1.46,1.03,3.72,0.57,2.38
11994455,2.42,1.9,1.43,4.12,0.29,2.84
12082265,2.05,1.74,1.3,3.87,0.61,3.24
12125552,2.51,1.42,1.02,3.66,0.76,2.31
12127628,1.66,0.86,1.33,1.52,2.59,4.16
12143899,3.43,2.03,2.04,3.5,2.49,2.39
12695395,2.57,1.58,1.15,3.84,0.56,2.28
12695837,2.9,2.0,1.56,4.27,0.55,2.09
12698020,1.72,1.72,1.35,3.68,1.04,3.67
12711740,3.78,2.77,2.36,4.99,1.43,1.27
12744365,0.84,0.95,1.33,1.54,2.53,4.57
12744761,1.79,1.35,0.91,3.5,0.65,3.23
12747743,0.32,1.58,1.65,2.49,2.37,4.86
12749303,4.47,5.74,6.0,4.5,6.83,9.29
12757309,2.51,1.15,1.31,2.61,2.21,3.08
12788675,2.52,3.88,4.06,3.35,4.77,7.3
12146217,1.75,1.51,1.1,3.59,0.79,3.42
12146850,2.83,3.99,4.29,2.69,5.26,7.59
12181980,2.41,3.35,3.15,4.55,2.99,5.58
12194201,1.83,0.44,0.64,2.41,1.78,3.31
12195382,1.1,1.43,1.84,1.09,3.04,5.03
12197695,2.82,2.48,2.94,0.88,4.2,5.47
12199121,5.97,4.66,4.43,6.44,3.99,1.42
12200436,5.7,4.38,4.16,6.17,3.73,1.21
12202181,5.92,4.6,4.38,6.36,3.96,1.43
12202980,3.71,2.61,2.24,4.79,1.48,1.16
12207845,1.16,1.35,1.1,3.14,1.38,3.96
12224080,1.67,0.3,0.41,2.48,1.6,3.33
12236695,3.9,2.51,2.51,3.87,2.87,2.31
12256600,3.93,2.54,2.54,3.87,2.92,2.35
12259520,2.73,1.76,1.33,4.02,0.57,2.15
12261000,2.38,1.84,1.37,4.05,0.24,2.83
12261152,1.69,0.3,0.46,2.45,1.65,3.34
12264951,3.82,2.81,2.41,5.04,1.47,1.25
12271535,2.93,2.81,2.37,4.9,1.32,3.46
12791930,0.99,2.33,2.52,2.25,3.37,5.8
12802478,0.27,1.34,1.58,1.9,2.57,4.87
12813120,3.24,1.93,2.1,2.89,2.89,3.15
12816386,1.07,0.48,0.47,2.46,1.57,3.77
12824656,2.42,1.09,1.3,2.46,2.26,3.22
12826782,2.51,3.88,3.91,4.02,4.32,6.94
12840292,3.29,2.09,1.77,4.22,1.35,1.53
12843701,2.47,1.77,1.3,4.02,0.04,2.6
12847213,2.29,2.04,1.6,4.16,0.7,3.24
12847820,1.3,1.06,0.74,3.06,1.13,3.63
12277967,1.38,1.03,0.68,3.09,1.05,3.53
12284640,3.37,2.03,1.83,3.95,1.83,1.71
12331497,1.93,0.88,0.44,3.15,0.91,2.89
12331794,2.1,1.16,0.7,3.43,0.63,2.73
